Breed,Category,Weight_kg,Age_months,Milk_L_per_day,BCS,Activity_Level,Health_Status,DMI_kg_per_day,CrudeProtein_pct_DM,TDN_pct_DM,CrudeProtein_kg_per_day,TDN_kg_per_day,Calcium_g_per_day,Phosphorus_g_per_day,Water_L_per_day,Special_Care_Notes
Ayrshire,Dairy Dry,474.7,37,0.0,2.5,Medium,Ringworm,9.92,13.0,60.0,1.29,5.95,32.8,20.9,38.0,"Add biotin, zinc and Vitamin A/E supplementation for skin and coat health; maintain hygiene of housing; mild protein boost aids skin recovery; topical antifungal treatment as advised by vet."
Ayrshire,Dairy Dry,513.5,66,0.0,3.9,High,FMD,8.78,13.5,63.0,1.19,5.53,32.4,21.6,46.1,Offer soft/gruel feed (mouth lesions reduce chewing) split into more frequent small meals; add electrolytes and energy-dense concentrate; isolate animal; consult vet for antiviral/supportive care.
Ayrshire,Draft/Working Bullock,473.2,86,0.0,2.9,High,FMD,8.83,12.5,75.9,1.1,6.7,29.8,19.9,42.9,Offer soft/gruel feed (mouth lesions reduce chewing) split into more frequent small meals; add electrolytes and energy-dense concentrate; isolate animal; consult vet for antiviral/supportive care.
Ayrshire,Breeding Bull,567.0,31,0.0,3.9,Medium,Ringworm,12.39,13.5,62.0,1.67,7.68,39.1,24.9,45.4,"Add biotin, zinc and Vitamin A/E supplementation for skin and coat health; maintain hygiene of housing; mild protein boost aids skin recovery; topical antifungal treatment as advised by vet."
Ayrshire,Growing/Heifer,339.3,8,0.0,2.3,Medium,FMD,6.86,17.0,71.0,1.17,4.87,21.4,14.3,27.1,Offer soft/gruel feed (mouth lesions reduce chewing) split into more frequent small meals; add electrolytes and energy-dense concentrate; isolate animal; consult vet for antiviral/supportive care.
Ayrshire,Growing/Heifer,232.2,19,0.0,2.4,Medium,FMD,4.69,17.0,71.0,0.8,3.33,14.6,9.8,18.6,Offer soft/gruel feed (mouth lesions reduce chewing) split into more frequent small meals; add electrolytes and energy-dense concentrate; isolate animal; consult vet for antiviral/supportive care.
Ayrshire,Dairy Dry,537.6,114,0.0,3.3,High,Normal,12.77,12.5,60.0,1.6,7.66,32.3,21.5,48.0,Maintain standard balanced ration; ensure clean water and routine mineral mixture.
Ayrshire,Draft/Working Bullock,485.8,64,0.0,3.1,High,Normal,12.59,11.5,72.4,1.45,9.12,29.1,19.4,43.9,Maintain standard balanced ration; ensure clean water and routine mineral mixture.
Ayrshire,Dairy Lactating,451.4,39,12.4,3.1,Low,Normal,16.4,17.7,71.9,2.9,11.79,70.5,45.3,73.3,Maintain standard balanced ration; ensure clean water and routine mineral mixture.
Ayrshire,Breeding Bull,494.5,57,0.0,3.1,Low,Normal,10.8,13.0,62.0,1.4,6.7,29.7,19.8,39.6,Maintain standard balanced ration; ensure clean water and routine mineral mixture.
Ayrshire,Dairy Dry,555.5,99,0.0,3.4,High,FMD,9.5,13.5,63.0,1.28,5.99,35.0,23.3,49.4,Offer soft/gruel feed (mouth lesions reduce chewing) split into more frequent small meals; add electrolytes and energy-dense concentrate; isolate animal; consult vet for antiviral/supportive care.
Ayrshire,Calf,110.8,6,0.0,3.0,Medium,Normal,3.32,20.0,72.0,0.66,2.39,6.6,4.4,8.9,Maintain standard balanced ration; ensure clean water and routine mineral mixture.
Ayrshire,Calf,104.0,1,0.0,2.4,Low,Normal,3.2,21.0,75.0,0.67,2.4,6.2,4.2,8.3,Maintain standard balanced ration; ensure clean water and routine mineral mixture.
Bargur,Draft/Working Bullock,285.3,105,0.0,3.3,Medium,Ringworm,6.5,12.0,63.0,0.78,4.09,19.7,12.6,22.8,"Add biotin, zinc and Vitamin A/E supplementation for skin and coat health; maintain hygiene of housing; mild protein boost aids skin recovery; topical antifungal treatment as advised by vet."
Bargur,Calf,47.6,1,0.0,2.1,Low,Normal,1.47,21.0,75.0,0.31,1.1,2.9,1.9,3.8,Maintain standard balanced ration; ensure clean water and routine mineral mixture.
Bargur,Dairy Lactating,274.1,50,7.1,2.9,Low,Normal,9.84,17.4,71.1,1.71,7.0,41.3,26.6,43.2,Maintain standard balanced ration; ensure clean water and routine mineral mixture.
Bargur,Draft/Working Bullock,214.9,139,0.0,2.6,Medium,FMD,3.71,12.5,66.0,0.46,2.45,13.5,9.0,17.2,Offer soft/gruel feed (mouth lesions reduce chewing) split into more frequent small meals; add electrolytes and energy-dense concentrate; isolate animal; consult vet for antiviral/supportive care.
Bargur,Dairy Dry,204.2,46,0.0,3.0,High,Ringworm,4.61,13.0,60.0,0.6,2.77,14.1,9.0,21.3,"Add biotin, zinc and Vitamin A/E supplementation for skin and coat health; maintain hygiene of housing; mild protein boost aids skin recovery; topical antifungal treatment as advised by vet."
Bargur,Calf,28.2,3,0.0,2.2,Medium,Ringworm,1.0,21.5,75.0,0.21,0.75,1.9,1.2,2.3,"Add biotin, zinc and Vitamin A/E supplementation for skin and coat health; maintain hygiene of housing; mild protein boost aids skin recovery; topical antifungal treatment as advised by vet."
Bargur,Dairy Dry,274.9,109,0.0,3.9,Low,Normal,5.75,12.5,60.0,0.72,3.45,16.5,11.0,22.0,Maintain standard balanced ration; ensure clean water and routine mineral mixture.
Bargur,Growing/Heifer,98.5,20,0.0,2.5,High,Lumpy Skin Disease,2.21,17.5,67.0,0.39,1.48,6.5,4.1,12.9,"Increase protein and add Vitamin A, D, E and zinc for skin healing and immunity; offer soft palatable feed if appetite is reduced; isolate from herd; ensure fly/vector control."
Bargur,Draft/Working Bullock,224.8,127,0.0,2.7,High,Normal,5.83,11.5,72.4,0.67,4.22,13.5,9.0,23.0,Maintain standard balanced ration; ensure clean water and routine mineral mixture.
Bargur,Calf,34.3,4,0.0,2.7,Low,Lumpy Skin Disease,1.0,22.5,74.0,0.23,0.74,2.3,1.4,2.7,"Increase protein and add Vitamin A, D, E and zinc for skin healing and immunity; offer soft palatable feed if appetite is reduced; isolate from herd; ensure fly/vector control."
Bargur,Growing/Heifer,78.8,14,0.0,2.5,High,Ringworm,2.1,15.5,65.0,0.33,1.36,5.4,3.5,11.3,"Add biotin, zinc and Vitamin A/E supplementation for skin and coat health; maintain hygiene of housing; mild protein boost aids skin recovery; topical antifungal treatment as advised by vet."
Bargur,Dairy Lactating,264.1,74,6.1,4.0,Medium,Ringworm,9.27,17.9,70.9,1.66,6.57,42.8,26.4,39.4,"Add biotin, zinc and Vitamin A/E supplementation for skin and coat health; maintain hygiene of housing; mild protein boost aids skin recovery; topical antifungal treatment as advised by vet."
Bargur,Calf,34.3,3,0.0,2.4,Low,Normal,1.06,21.0,75.0,0.22,0.8,2.1,1.4,2.7,Maintain standard balanced ration; ensure clean water and routine mineral mixture.
Bargur,Draft/Working Bullock,231.4,124,0.0,3.4,High,Normal,6.0,11.5,72.4,0.69,4.34,13.9,9.3,23.5,Maintain standard balanced ration; ensure clean water and routine mineral mixture.
Bargur,Breeding Bull,249.4,48,0.0,3.0,High,Normal,6.2,13.0,62.0,0.81,3.84,15.0,10.0,25.0,Maintain standard balanced ration; ensure clean water and routine mineral mixture.
Bargur,Draft/Working Bullock,273.7,118,0.0,2.8,High,Ringworm,6.74,12.0,72.4,0.81,4.88,18.9,12.0,26.9,"Add biotin, zinc and Vitamin A/E supplementation for skin and coat health; maintain hygiene of housing; mild protein boost aids skin recovery; topical antifungal treatment as advised by vet."
Bargur,Dairy Lactating,231.4,109,7.4,3.4,Medium,Normal,9.16,17.4,71.1,1.59,6.51,39.8,25.5,40.7,Maintain standard balanced ration; ensure clean water and routine mineral mixture.
Bargur,Dairy Dry,240.2,71,0.0,2.9,Low,Normal,5.02,12.5,60.0,0.63,3.01,14.4,9.6,19.2,Maintain standard balanced ration; ensure clean water and routine mineral mixture.
Bargur,Dairy Dry,274.8,116,0.0,2.8,Medium,Normal,6.05,12.5,60.0,0.76,3.63,16.5,11.0,22.0,Maintain standard balanced ration; ensure clean water and routine mineral mixture.
Bargur,Calf,32.5,3,0.0,2.9,Medium,Normal,1.0,20.0,72.0,0.2,0.72,2.0,1.3,2.6,Maintain standard balanced ration; ensure clean water and routine mineral mixture.
Bargur,Dairy Dry,221.4,116,0.0,3.2,High,Lumpy Skin Disease,4.21,15.0,62.0,0.63,2.61,14.6,9.3,22.7,"Increase protein and add Vitamin A, D, E and zinc for skin healing and immunity; offer soft palatable feed if appetite is reduced; isolate from herd; ensure fly/vector control."
Bargur,Growing/Heifer,123.5,9,0.0,2.9,Low,Ringworm,2.9,15.5,65.0,0.45,1.89,8.5,5.4,9.9,"Add biotin, zinc and Vitamin A/E supplementation for skin and coat health; maintain hygiene of housing; mild protein boost aids skin recovery; topical antifungal treatment as advised by vet."
Bargur,Growing/Heifer,96.7,16,0.0,2.0,Low,Normal,2.58,16.0,68.0,0.41,1.75,5.8,3.9,7.7,Maintain standard balanced ration; ensure clean water and routine mineral mixture.
Bargur,Calf,38.6,4,0.0,2.3,Medium,Normal,1.25,21.0,75.0,0.26,0.94,2.3,1.5,3.1,Maintain standard balanced ration; ensure clean water and routine mineral mixture.
Brown Swiss cattle,Growing/Heifer,337.3,11,0.0,3.1,Medium,Normal,8.77,15.0,65.0,1.32,5.7,20.2,13.5,27.0,Maintain standard balanced ration; ensure clean water and routine mineral mixture.
Brown Swiss cattle,Dairy Dry,576.4,58,0.0,3.9,Medium,Normal,12.68,12.5,60.0,1.58,7.61,34.6,23.1,46.1,Maintain standard balanced ration; ensure clean water and routine mineral mixture.
Brown Swiss cattle,Growing/Heifer,356.9,10,0.0,3.0,High,FMD,7.22,16.0,68.0,1.16,4.91,22.5,15.0,33.6,Offer soft/gruel feed (mouth lesions reduce chewing) split into more frequent small meals; add electrolytes and energy-dense concentrate; isolate animal; consult vet for antiviral/supportive care.
Brown Swiss cattle,Dairy Dry,672.3,108,0.0,3.8,Medium,Ringworm,14.05,13.0,60.0,1.83,8.43,46.4,29.6,53.8,"Add biotin, zinc and Vitamin A/E supplementation for skin and coat health; maintain hygiene of housing; mild protein boost aids skin recovery; topical antifungal treatment as advised by vet."
Brown Swiss cattle,Dairy Dry,661.5,50,0.0,3.2,Low,Normal,13.83,12.5,60.0,1.73,8.3,39.7,26.5,52.9,Maintain standard balanced ration; ensure clean water and routine mineral mixture.
Brown Swiss cattle,Draft/Working Bullock,664.9,59,0.0,3.3,High,Normal,17.23,11.5,72.4,1.98,12.47,39.9,26.6,58.2,Maintain standard balanced ration; ensure clean water and routine mineral mixture.
Brown Swiss cattle,Calf,88.9,6,0.0,2.5,Low,Normal,2.53,20.0,72.0,0.51,1.82,5.3,3.6,7.1,Maintain standard balanced ration; ensure clean water and routine mineral mixture.
Brown Swiss cattle,Growing/Heifer,411.7,19,0.0,2.1,Medium,Normal,11.56,16.0,68.0,1.85,7.86,24.7,16.5,32.9,Maintain standard balanced ration; ensure clean water and routine mineral mixture.
Brown Swiss cattle,Dairy Dry,581.0,37,0.0,3.1,High,FMD,9.94,13.5,63.0,1.34,6.26,36.6,24.4,51.5,Offer soft/gruel feed (mouth lesions reduce chewing) split into more frequent small meals; add electrolytes and energy-dense concentrate; isolate animal; consult vet for antiviral/supportive care.
Brown Swiss cattle,Draft/Working Bullock,678.5,26,0.0,3.6,Medium,Normal,16.28,11.5,63.0,1.87,10.26,40.7,27.1,54.3,Maintain standard balanced ration; ensure clean water and routine mineral mixture.
Brown Swiss cattle,Dairy Lactating,663.0,68,21.3,3.9,Medium,Lumpy Skin Disease,21.02,20.8,75.2,4.37,15.81,125.8,77.0,116.9,"Increase protein and add Vitamin A, D, E and zinc for skin healing and immunity; offer soft palatable feed if appetite is reduced; isolate from herd; ensure fly/vector control."
Brown Swiss cattle,Breeding Bull,661.7,126,0.0,3.3,Medium,Normal,15.22,13.0,62.0,1.98,9.44,39.7,26.5,52.9,Maintain standard balanced ration; ensure clean water and routine mineral mixture.
Brown Swiss cattle,Dairy Lactating,651.9,115,15.0,2.3,Medium,Normal,25.98,18.9,75.2,4.91,19.54,91.6,59.1,97.2,Maintain standard balanced ration; ensure clean water and routine mineral mixture.
Brown Swiss cattle,Breeding Bull,586.8,92,0.0,3.8,Low,FMD,9.23,14.0,65.0,1.29,6.0,37.0,24.6,46.9,Offer soft/gruel feed (mouth lesions reduce chewing) split into more frequent small meals; add electrolytes and energy-dense concentrate; isolate animal; consult vet for antiviral/supportive care.
Brown Swiss cattle,Growing/Heifer,249.0,21,0.0,2.5,Medium,Normal,6.47,15.0,65.0,0.97,4.21,14.9,10.0,19.9,Maintain standard balanced ration; ensure clean water and routine mineral mixture.
Brown Swiss cattle,Dairy Dry,662.8,65,0.0,3.7,Low,Normal,13.85,12.5,60.0,1.73,8.31,39.8,26.5,53.0,Maintain standard balanced ration; ensure clean water and routine mineral mixture.
Brown Swiss cattle,Calf,118.5,6,0.0,2.5,Medium,Lumpy Skin Disease,2.84,22.5,74.0,0.64,2.1,7.8,5.0,9.5,"Increase protein and add Vitamin A, D, E and zinc for skin healing and immunity; offer soft palatable feed if appetite is reduced; isolate from herd; ensure fly/vector control."
Brown Swiss cattle,Draft/Working Bullock,663.1,29,0.0,3.9,Medium,Normal,15.91,11.5,63.0,1.83,10.02,39.8,26.5,53.0,Maintain standard balanced ration; ensure clean water and routine mineral mixture.
Brown Swiss cattle,Growing/Heifer,260.5,14,0.0,2.8,Low,FMD,4.63,16.0,68.0,0.74,3.15,16.4,10.9,20.8,Offer soft/gruel feed (mouth lesions reduce chewing) split into more frequent small meals; add electrolytes and energy-dense concentrate; isolate animal; consult vet for antiviral/supportive care.
Brown Swiss cattle,Dairy Lactating,640.9,51,22.0,3.4,Medium,Normal,25.83,18.3,73.3,4.73,18.93,115.5,74.0,117.3,Maintain standard balanced ration; ensure clean water and routine mineral mixture.
Brown Swiss cattle,Dairy Lactating,636.8,43,21.4,3.2,High,Normal,27.57,18.3,73.2,5.05,20.18,113.1,72.6,120.1,Maintain standard balanced ration; ensure clean water and routine mineral mixture.
Brown Swiss cattle,Draft/Working Bullock,561.4,49,0.0,3.5,High,Normal,14.55,11.5,72.4,1.67,10.53,33.7,22.5,49.9,Maintain standard balanced ration; ensure clean water and routine mineral mixture.
Brown Swiss cattle,Dairy Lactating,640.1,117,11.2,4.0,Medium,Normal,22.56,17.7,71.7,3.99,16.18,77.6,50.2,84.8,Maintain standard balanced ration; ensure clean water and routine mineral mixture.
Brown Swiss cattle,Dairy Dry,605.6,114,0.0,3.3,Medium,Lumpy Skin Disease,10.66,15.0,62.0,1.6,6.61,40.0,25.4,48.4,"Increase protein and add Vitamin A, D, E and zinc for skin healing and immunity; offer soft palatable feed if appetite is reduced; isolate from herd; ensure fly/vector control."
Dangi,Dairy Dry,293.4,43,0.0,3.0,High,Normal,6.97,12.5,60.0,0.87,4.18,17.6,11.7,28.5,Maintain standard balanced ration; ensure clean water and routine mineral mixture.
Dangi,Growing/Heifer,127.1,20,0.0,3.0,Medium,Ringworm,3.14,15.5,65.0,0.49,2.04,8.8,5.6,10.2,"Add biotin, zinc and Vitamin A/E supplementation for skin and coat health; maintain hygiene of housing; mild protein boost aids skin recovery; topical antifungal treatment as advised by vet."
Dangi,Dairy Dry,293.6,89,0.0,3.6,Low,Ringworm,5.83,13.0,60.0,0.76,3.5,20.3,12.9,23.5,"Add biotin, zinc and Vitamin A/E supplementation for skin and coat health; maintain hygiene of housing; mild protein boost aids skin recovery; topical antifungal treatment as advised by vet."
Dangi,Calf,62.7,3,0.0,2.7,Medium,Normal,1.88,20.0,72.0,0.38,1.35,3.8,2.5,5.0,Maintain standard balanced ration; ensure clean water and routine mineral mixture.
Dangi,Calf,60.9,4,0.0,2.3,Medium,Normal,1.97,21.0,75.0,0.41,1.48,3.7,2.4,4.9,Maintain standard balanced ration; ensure clean water and routine mineral mixture.
Dangi,Breeding Bull,366.2,113,0.0,3.8,Low,Normal,8.0,13.0,62.0,1.04,4.96,22.0,14.6,29.3,Maintain standard balanced ration; ensure clean water and routine mineral mixture.
Dangi,Dairy Dry,305.5,92,0.0,2.9,Medium,Lumpy Skin Disease,5.38,15.0,62.0,0.81,3.34,20.2,12.8,24.4,"Increase protein and add Vitamin A, D, E and zinc for skin healing and immunity; offer soft palatable feed if appetite is reduced; isolate from herd; ensure fly/vector control."
Dangi,Dairy Dry,259.3,32,0.0,2.8,Medium,Normal,5.7,12.5,60.0,0.71,3.42,15.6,10.4,20.7,Maintain standard balanced ration; ensure clean water and routine mineral mixture.
Dangi,Breeding Bull,321.0,71,0.0,3.6,Medium,Normal,7.38,13.0,62.0,0.96,4.58,19.3,12.8,25.7,Maintain standard balanced ration; ensure clean water and routine mineral mixture.
Dangi,Draft/Working Bullock,277.1,82,0.0,2.9,Medium,Normal,6.65,11.5,63.0,0.76,4.19,16.6,11.1,22.2,Maintain standard balanced ration; ensure clean water and routine mineral mixture.
Dangi,Calf,54.1,6,0.0,2.3,Low,Normal,1.67,21.0,75.0,0.35,1.25,3.2,2.2,4.3,Maintain standard balanced ration; ensure clean water and routine mineral mixture.
Dangi,Draft/Working Bullock,347.7,99,0.0,3.3,Medium,Normal,8.34,11.5,63.0,0.96,5.25,20.9,13.9,27.8,Maintain standard balanced ration; ensure clean water and routine mineral mixture.
Dangi,Growing/Heifer,118.2,16,0.0,2.0,Medium,Normal,3.32,16.0,68.0,0.53,2.26,7.1,4.7,9.5,Maintain standard balanced ration; ensure clean water and routine mineral mixture.
Dangi,Calf,46.1,5,0.0,3.0,Medium,Normal,1.38,20.0,72.0,0.28,0.99,2.8,1.8,3.7,Maintain standard balanced ration; ensure clean water and routine mineral mixture.
Dangi,Calf,41.2,5,0.0,2.5,High,Normal,1.33,20.0,72.0,0.27,0.96,2.5,1.6,8.3,Maintain standard balanced ration; ensure clean water and routine mineral mixture.
Dangi,Dairy Dry,332.2,44,0.0,3.1,Low,FMD,5.0,13.5,63.0,0.68,3.15,20.9,14.0,26.6,Offer soft/gruel feed (mouth lesions reduce chewing) split into more frequent small meals; add electrolytes and energy-dense concentrate; isolate animal; consult vet for antiviral/supportive care.
Dangi,Calf,36.6,2,0.0,2.5,High,Normal,1.19,20.0,72.0,0.24,0.86,2.2,1.5,7.9,Maintain standard balanced ration; ensure clean water and routine mineral mixture.
Dangi,Dairy Dry,309.6,107,0.0,3.4,Medium,Normal,6.81,12.5,60.0,0.85,4.09,18.6,12.4,24.8,Maintain standard balanced ration; ensure clean water and routine mineral mixture.
Dangi,Dairy Dry,336.0,68,0.0,4.0,Medium,FMD,5.32,13.5,63.0,0.72,3.35,21.2,14.1,26.9,Offer soft/gruel feed (mouth lesions reduce chewing) split into more frequent small meals; add electrolytes and energy-dense concentrate; isolate animal; consult vet for antiviral/supportive care.
Dangi,Breeding Bull,289.7,118,0.0,3.9,Low,Normal,6.33,13.0,62.0,0.82,3.92,17.4,11.6,23.2,Maintain standard balanced ration; ensure clean water and routine mineral mixture.
Dangi,Growing/Heifer,151.6,12,0.0,2.6,Medium,Normal,3.94,15.0,65.0,0.59,2.56,9.1,6.1,12.1,Maintain standard balanced ration; ensure clean water and routine mineral mixture.
Dangi,Calf,39.4,2,0.0,3.3,Low,Normal,1.12,20.0,72.0,0.22,0.81,2.4,1.6,3.2,Maintain standard balanced ration; ensure clean water and routine mineral mixture.
Dangi,Dairy Lactating,309.0,110,9.6,2.4,Low,Normal,12.47,18.6,74.4,2.32,9.28,52.1,33.5,53.5,Maintain standard balanced ration; ensure clean water and routine mineral mixture.
